epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.966,0.68001,1.43765,1.18718,0.8025,0.6024,0.77253,0.59547,0.91144,1.95807,1.49661,0.000367506,0.000367506,0.000367506
2,138.511,0.82983,1.08269,1.28851,0.75291,0.65153,0.73892,0.51497,0.89746,1.58206,1.50047,0.00072323,0.00072323,0.00072323
3,195.069,0.8539,1.04434,1.29441,0.71332,0.59793,0.64935,0.45568,1.13799,1.95567,1.62986,0.00106429,0.00106429,0.00106429
4,251.575,0.82423,0.96206,1.25801,0.95066,0.65533,0.72488,0.57004,0.85925,1.07201,1.44626,0.00104501,0.00104501,0.00104501
5,308.799,0.79705,0.92163,1.23854,0.95235,0.69122,0.75129,0.66473,0.6593,0.70285,1.18762,0.00102301,0.00102301,0.00102301
6,370.221,0.7324,0.83414,1.20317,0.97094,0.66631,0.7574,0.64679,0.64287,0.66455,1.19415,0.00100101,0.00100101,0.00100101
7,433.351,0.70633,0.77111,1.1805,0.6451,0.79872,0.78461,0.65635,0.62861,0.88752,1.2238,0.000979013,0.000979013,0.000979013
8,507.533,0.68529,0.73057,1.16775,0.85073,0.75574,0.85826,0.76365,0.56218,0.65696,1.11296,0.000957015,0.000957015,0.000957015
9,582.071,0.64986,0.70706,1.1472,0.72755,0.8219,0.8621,0.7163,0.53147,0.66558,1.07796,0.000935018,0.000935018,0.000935018
10,639.039,0.6245,0.66509,1.11969,0.81311,0.81169,0.85039,0.74206,0.63929,0.57969,1.211,0.00091302,0.00091302,0.00091302
11,697.007,0.61286,0.64059,1.13221,0.81129,0.86681,0.95399,0.80034,0.60313,0.74817,1.16329,0.000891022,0.000891022,0.000891022
12,755.546,0.59126,0.63388,1.10448,0.84647,0.99189,0.97965,0.81047,0.51097,0.51245,1.06289,0.000869024,0.000869024,0.000869024
13,817.336,0.57593,0.59641,1.09106,0.81943,0.8632,0.91788,0.82796,0.47804,0.50578,1.05073,0.000847026,0.000847026,0.000847026
14,876.791,0.5639,0.59152,1.10646,0.95814,0.96419,0.9812,0.88296,0.45436,0.47225,1.03401,0.000825029,0.000825029,0.000825029
15,934.794,0.55419,0.55529,1.08199,0.74532,0.97493,0.89403,0.82416,0.53325,0.50002,1.07939,0.000803031,0.000803031,0.000803031
16,992.474,0.54864,0.53326,1.09036,0.96465,0.93828,0.97326,0.86319,0.48628,0.51081,1.05282,0.000781033,0.000781033,0.000781033
17,1050.21,0.54725,0.55081,1.07596,0.96632,0.93126,0.97934,0.90631,0.43607,0.45757,1.0106,0.000759035,0.000759035,0.000759035
18,1107.47,0.5355,0.53291,1.07761,0.95697,0.95428,0.98213,0.94161,0.39919,0.41981,0.98719,0.000737037,0.000737037,0.000737037
19,1165.54,0.50046,0.48799,1.06003,0.84116,0.94493,0.97919,0.87215,0.46087,0.4723,1.02947,0.00071504,0.00071504,0.00071504
20,1222.73,0.50436,0.4916,1.05277,0.95496,0.95112,0.98219,0.91742,0.46413,0.41588,1.05113,0.000693042,0.000693042,0.000693042
21,1280.35,0.5051,0.49037,1.05416,0.97567,0.96386,0.98284,0.93788,0.43802,0.38631,1.00936,0.000671044,0.000671044,0.000671044
22,1337.6,0.49353,0.47337,1.05254,0.9559,0.9524,0.98079,0.91077,0.44404,0.43302,1.03741,0.000649046,0.000649046,0.000649046
23,1395.68,0.4777,0.46284,1.04734,0.95737,0.93199,0.98422,0.94714,0.40013,0.38376,0.97697,0.000627048,0.000627048,0.000627048
24,1453.59,0.46881,0.44883,1.03588,0.96383,0.94764,0.98321,0.93793,0.41217,0.39328,0.9902,0.000605051,0.000605051,0.000605051
25,1511,0.48031,0.44234,1.03466,0.95387,0.94202,0.98258,0.93172,0.38201,0.38846,0.972,0.000583053,0.000583053,0.000583053
26,1568.39,0.44725,0.41472,1.02364,0.87963,0.94322,0.98004,0.94407,0.39516,0.46737,0.98406,0.000561055,0.000561055,0.000561055
27,1631.58,0.4501,0.41847,1.02733,0.88881,0.94954,0.9806,0.94699,0.38374,0.3902,0.9726,0.000539057,0.000539057,0.000539057
28,1696.5,0.44873,0.40989,1.03716,0.98412,0.94011,0.98368,0.95045,0.3793,0.36573,0.96788,0.000517059,0.000517059,0.000517059
29,1755.85,0.43877,0.39229,1.02686,0.96115,0.95649,0.98377,0.95461,0.36531,0.35625,0.93969,0.000495062,0.000495062,0.000495062
30,1813.68,0.42145,0.39751,1.01317,0.96797,0.94683,0.98582,0.96337,0.35475,0.35384,0.94361,0.000473064,0.000473064,0.000473064
31,1871.52,0.42611,0.3822,1.01506,0.95533,0.95076,0.98377,0.94835,0.35749,0.3611,0.9412,0.000451066,0.000451066,0.000451066
32,1929.55,0.41687,0.37421,1.01711,0.93642,0.92961,0.98134,0.94514,0.39456,0.41813,0.97356,0.000429068,0.000429068,0.000429068
33,1988.35,0.41652,0.37199,1.01064,0.96044,0.95409,0.98418,0.95583,0.37276,0.36936,0.96563,0.00040707,0.00040707,0.00040707
34,2054.25,0.3955,0.35279,1.00791,0.97023,0.93455,0.98172,0.9517,0.37618,0.42165,0.96077,0.000385073,0.000385073,0.000385073
35,2113.18,0.39257,0.34909,0.99423,0.96694,0.96624,0.98587,0.95617,0.36851,0.34097,0.97372,0.000363075,0.000363075,0.000363075
36,2170.95,0.3903,0.35404,0.99789,0.94253,0.93341,0.98266,0.96125,0.34627,0.35875,0.9324,0.000341077,0.000341077,0.000341077
37,2230.9,0.38642,0.34275,0.99291,0.96744,0.9477,0.98244,0.95777,0.37192,0.38007,0.94883,0.000319079,0.000319079,0.000319079
38,2293.27,0.3918,0.3382,0.99649,0.96711,0.94416,0.98414,0.96156,0.33729,0.37149,0.9302,0.000297081,0.000297081,0.000297081
39,2352.51,0.37844,0.32484,0.99396,0.9655,0.95446,0.98408,0.96151,0.34315,0.35374,0.92882,0.000275084,0.000275084,0.000275084
40,2410.35,0.36442,0.31116,0.98102,0.97039,0.94948,0.98554,0.96309,0.34183,0.35716,0.92984,0.000253086,0.000253086,0.000253086
41,2501.62,0.23911,0.23439,0.87472,0.96854,0.95059,0.98299,0.9633,0.34666,0.3609,0.93333,0.000231088,0.000231088,0.000231088
42,2562.66,0.24427,0.21542,0.87346,0.96986,0.94055,0.98222,0.96424,0.33156,0.38357,0.92314,0.00020909,0.00020909,0.00020909
43,2625.39,0.23663,0.22174,0.87002,0.96286,0.94912,0.98463,0.96421,0.33377,0.34089,0.91339,0.000187092,0.000187092,0.000187092
44,2683.68,0.22602,0.19698,0.8646,0.97307,0.95206,0.98469,0.93025,0.33977,0.35807,0.92724,0.000165095,0.000165095,0.000165095
45,2741.53,0.21797,0.19188,0.86024,0.96938,0.95137,0.9841,0.96756,0.31711,0.33341,0.9062,0.000143097,0.000143097,0.000143097
46,2799.99,0.21216,0.18049,0.85312,0.96998,0.93584,0.98117,0.96575,0.30463,0.39054,0.89389,0.000121099,0.000121099,0.000121099
47,2857.54,0.20355,0.17423,0.85476,0.96969,0.94248,0.98193,0.96802,0.29909,0.38499,0.89814,9.91012e-05,9.91012e-05,9.91012e-05
48,2914.89,0.19843,0.17103,0.8561,0.9674,0.95504,0.98468,0.97092,0.29515,0.35488,0.89256,7.71034e-05,7.71034e-05,7.71034e-05
49,2973.06,0.19396,0.16119,0.85598,0.97052,0.94805,0.98207,0.96841,0.30209,0.37157,0.89501,5.51056e-05,5.51056e-05,5.51056e-05
50,3030.35,0.18758,0.15755,0.84673,0.96928,0.94796,0.98257,0.9687,0.29401,0.36926,0.8941,3.31078e-05,3.31078e-05,3.31078e-05
